Chinese,English
集,to gather; collection; episode
百,hundred
需,to need
价,price; value
花,flower; to spend
党,political party
华,splendid; Chinese
城,city; city wall
石,stone
级,level; grade
整,whole; to arrange
府,government office; mansion
离,to leave; from
况,situation; moreover
亚,Asia; second
请,please; to invite
技,skill; technology
际,border; between; occasion
约,about; appointment; agreement
示,to show; indicate
复,to return; repeat; complex
病,illness; sick
息,breath; rest; information
究,to investigate; after all
线,line; thread
似,to seem; similar
官,official; organ
火,fire
断,to break; decide; absolutely
精,essence; refined; skilled
满,full; satisfied
支,branch; support; measure word
视,to look at; vision
消,to disappear; consume
越,to cross; more and more; Vietnam
器,device; vessel; organ
容,to contain; appearance; tolerate
照,to shine; photo; according to
须,must; beard
九,nine
增,to increase
研,to study; grind
写,to write
称,to call; name; weigh
企,to stand on tiptoe; enterprise
八,eight
功,achievement; skill
吗,yes-no question particle
包,bag; package; to wrap
片,slice; piece; film
史,history
委,to entrust; committee
乎,in; at; question particle
查,to check; investigate
轻,light; gentle
易,easy; change; trade
早,early; morning
曾,once; formerly
除,to remove; divide; except
农,agriculture; farmer
找,to look for; find
装,clothing; to install; pretend
广,wide; broad
显,obvious; to display
吧,suggestion particle; bar
阿,prefix; phonetic character
李,plum; surname Li
标,mark; standard; label
谈,to talk; discuss
吃,to eat
图,picture; map; plan
念,to read; think of; idea
六,six
引,to pull; guide; attract
历,history; calendar; experience
首,head; first; measure word for songs
医,medicine; doctor
局,bureau; situation; game
突,sudden; to dash
专,specialized; focused
费,fee; to spend
号,number; name; date
尽,to exhaust; as much as possible
另,other; another
周,week; circumference; surname Zhou
较,comparatively; to compare
注,to pour; note; focus
语,language; speech
仅,only; merely
考,to test; examine
落,to fall; drop; settle
青,blue-green; young
随,to follow; according to
选,to choose; select
列,row; list; to arrange
